Label,label_id
FatCat,199
Chess Club,18460
"Atlantic, Virgin",6028
Fire Talk,23116
BigHit Entertainment,25366
"City Slang, Merge",24695
Compass,19059
"Western Vinyl, Bella Union",9757
Wonderlick,19889
Healthy,20577
Afternoon,13730
"HevyDevy, InsideOutMusic",23795
"RCA, 19",23293
Three Lobed,15207
Hydra Head,671
Sony LatÃ­n,25589
Latent,23030
"Crush, Atlantic",18178
CN,17737
3DOT,25084
Warner Bros. UK,23660
"300, Glizzy Gang",25702
Q Prime,3632
"Artistry, Warner Bros",25448
Pepper / Jive Electro,12721
Rad Cult,3020
UNFD,17834
God?,24519
Atlantic Nashville,14795
New Machine,14096
Pure Noise,8968
Joy Void,17887
"SO Recordings, Silva Screen",23584
Clean Slate / Work,2707
Alligator,32159
WeDidIt,23308
Cabin 24,2353
Golden Child,21062
"Blue Chair, Warner Nashville",23560
Mint,11798
"Double Double Whammy, Don Giovanni",11181
Run For Cover,8556
Griselda Records,26128
"REMember, Warner Bros.",23525
Mega Collider,13653
Female Energy,26129
"RCA, Question Everything",25576
"Question Everything, RCA",25719
DFA,1792
Hot,12429
Sony Music Latin,11868
Flying Nun,13226
"Slash, Warner Bros.",14570
Slash,3461
Language of Stone,1426
"Columbia, Warner Bros.",4295
New West Records,212
Interscope,10
Freida Jean,23703
Grouch,26425
Trustkill Records,19563
Sacred Bones / Bella Union,6882
Weathermaker,4172
Warner Bros. Nashville,13002
B-Boy,4472
"Easy Eye Sound, Nonesuch",19942
"Secret Songs, Last Gang",23731
Dualtone Music Group,2650
Samedi,24067
Funk Volume,9171
"Maverick, Reprise",2782
Lonely Astronaut Records,30960
Proper,30315
Pytheas,14648
InsideOut,3494
Tresor,3318
"Epic, Grand Hustle",14633
anticon.,491
Scumgang,24462
"Mozzy, EMPIRE",21064
Warner Russia,24234
Empire,18467
Balley,19497
"What A Music, Parlophone, Big Beat, Atlantic",23842
"Little Tokyo, Sony UK",24065
Beyond Beyond Is Beyond,23786
Winspear,20954
"Young Mary's, Thirty Tigers",23989
PAN,3292
Young God / Mute,11238
Glizzy Gang,24235
anno,23748
Snakepit / Roadrunner,24139
"Big Persona, 88 Classic, RCA",26168
Blue Raft,24676
felte,18664
Columbia/ Red Ink,568
Tender Loving Empire,6373
88rising,23581
Kaw-Liga,16723
"Aftermath, 12 Tone",24189
Suicidal,17487
Rhino,2830
Never Broke Again,23004
"I'm Poppy, Mad Decent",23967
Napalm Records,4860
"Fat Possum, Cult",24018
Golden Chil,26230
"Polyvinyl, Liberation",24466
Volcano,2914
XL / Maverick,3427
"Vamplife, Heatmakerz, EMPIRE",26020
Sumerian Records,7346
Joytime Collective,23347
The Leaf Label,2970
6131,10775
Big Label,26246
Centricity Music,24024
"Bad Dreams, EMPIRE",26200
Get Loud,26565
Whities,16431
Definitive Jux,713
"Tan Cressida, Columbia",24580
"Island, Neon Gold",24541
First Priority Music,12997
"NPG, Arista",6057
"Simco, Epic",26716
Spinefarm,3321
DeSoto Records,21860
Bell Records,13265
Monday,16370
Tiger Style Records,12621
Night & Day,2715
"NPG, Warner Bros.",23272
Abraxan Hymns,14654
Rimas,24764
incienso,26161
Gilead Media,8027
Mascot,16511
Homewood,14531
"NaÃ¯ve, Mute",26330
"Low Country Sound, Elektra",21805
House Arrest,25070
Les Disques Du Crepuscule,24859
Shelter Press,12701
ViciSolum,15064
Native Cat,25554
Easy Star,14362
Fuzze-Flex,26124
Caldo Verde Records,648
Untuned,25928
Oscar Street,24079
"W.25TH, Superior Viaduct",25522
"Roadrunner, 333 Wreckords Crew",24880
Albert / Atlantic,5282
Human Season,26404
Invictus Productions,11731
Swami,7049
Ear Music,26427
God? / Drag City,9332
Shelly,26478
Sub Pop Records,28638
Torn Clean,18044
Atlantic UK,23216
Modern Sky,21306
Deathbomb Arc,17793
Warner Brasil,25449
ESP-Disk,4805
Gilead,20958
"Top Dawg, RCA",19325
Trance Syndicate Records,11069
Orange Milk,16697
Twinight Records,25611
Earth Analog,28640
"ByStorm, RCA",13408
"Mom+Pop, Ninja Tune",25894
M.A. Music / 3D,26710
Decca Records,19249
Purple / EMI / Warner Bros.,8446
Northern Electronics,19235
"Ropeadope, Stretch",25421
Vots,15859
Marbled Arm,26703
